AreaCB AreaCH PerimeterCH MaxD MinD AverageD PointsCH AverageA slice0 slice1 slice2 slice3 slice4 slice5 slice6 slice7 slice8 slice9 class
-0.000928323 -0.961404 1.02968 9.43398 5 6.77183 0.325 0.493843 6 4 4 4 4 3 3 3 4 5 0
-0.00275109 -0.892308 1.11627 18.6011 4.24264 11.9282 0.2 -0.406619 9 5 7 10 16 5 3 9 9 7 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-0.0801203 -0.651945 1.59656 96.566 24.0208 63.2869 0.0206044 0.0258611 80 104 119 74 26 107 48 58 82 30 1
1.35522e-05 1 1 1 1 1 1 0 1 0 1 0 0 1 0 1 0 0 0
-0.00111805 -0.9375 1.11634 10.8167 6 7.52891 0.18 1.32828 4 4 4 4 5 4 4 7 8 6 0
-1.01641e-05 -1 1 2.23607 0 1.13006 0.8 0.879157 0 1 0 0 0 0 0 0 2 2 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-0.117304 -0.679642 1.6803 117.393 35.3553 76.998 0.0209021 1.4218 99 73 83 76 33 90 115 166 97 77 1
2.71043e-05 1 1 2 1 1.30474 1 1.5708 1 0 1 0 0 1 1 1 1 0 0
0.000664056 0.94686 1.06938 8.94427 4 5.91056 0.236842 0.433162 3 3 7 5 2 2 3 3 6 4 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-0.000867338 -0.937729 1.04796 8.60233 5 6.49562 0.325 0.976666 5 3 4 4 4 4 3 4 4 5 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-3.38804e-06 -0.5 1.03402 1.41421 1 1.16569 0.6 0.284924 1 0 2 1 0 0 0 0 0 1 0
-0.000714876 -0.727586 1.26902 9.21954 3 6.15712 0.196078 -0.120195 4 9 4 3 10 4 4 4 5 4 0
1.35522e-05 1 1 1 1 1 1 0 1 0 1 0 0 1 0 1 0 0 0
-1.01641e-05 -1 1 2 0 1.08284 0.8 1.00818 1 0 0 0 0 0 0 0 3 1 0
-0.195761 -0.576158 1.85323 215.058 7.07107 114.006 0.0131406 2.11837 322 109 6 11 301 391 168 90 48 76 1
1.35522e-05 1 1 1 1 1 1 0 1 0 1 0 0 1 0 1 0 0 0
1.35522e-05 1 1 1 1 1 1 0 1 0 1 0 0 1 0 1 0 0 0
2.71043e-05 1 1 2 1 1.30474 1 1.5708 1 0 1 0 0 1 1 1 1 0 0
-0.000745369 -0.948276 1.03157 7.81025 5 5.97591 0.333333 1.07097 4 3 4 3 3 3 4 3 4 5 0
-0.00262912 -0.87191 1.12807 18.6011 4.47214 11.753 0.158537 0.258717 6 6 10 16 5 3 8 8 9 11 0
-0.00291033 -0.93675 1.04167 19.2354 7.2111 12.2172 0.148148 2.11571 9 7 8 7 6 14 9 4 8 9 0
-0.0328843 -0.854026 1.17829 82.4197 11.6619 46.9422 0.0597826 2.04487 74 24 8 19 58 74 31 10 21 49 0
-0.00304923 -0.929752 1.05381 20.2485 8.06226 12.8072 0.166667 0.866156 5 9 13 7 8 5 5 13 13 6 0
-0.000701324 -0.962791 1.028 7.81025 5 5.82421 0.314286 0.900972 3 3 3 4 3 3 4 3 3 6 0
-9.48651e-05 -0.8 1.06831 5 0 2.63824 0.333333 0.190701 5 1 1 1 3 3 0 0 2 2 0
1.35522e-05 1 1 1 1 1 1 0 1 0 1 0 0 1 0 1 0 0 0
-0.000609847 -0.703125 1.24257 9.89949 1 5.94061 0.229167 2.04583 5 2 1 8 9 3 4 6 5 5 0
-0.00419439 -0.791054 1.18676 29.1548 4.24264 16.4019 0.109375 1.22548 6 7 14 12 20 6 4 9 37 13 0
-0.000308312 -0.978495 1.00808 6.7082 1 4.33764 0.16129 0.173073 5 2 2 3 5 5 0 1 2 6 0
-0.0156934 -0.812062 1.39465 49.1935 8.06226 28.3457 0.0588235 -2.0284 18 28 45 19 18 17 16 54 43 14 0
1.35522e-05 1 1 1 1 1 1 0 1 0 1 0 0 1 0 1 0 0 0
4.74325e-05 1 1 2.23607 1 1.66257 0.75 -0.0540399 2 1 1 1 0 1 1 1 0 0 0
-0.0521995 -0.814453 1.18054 102.694 17.6918 58.4211 0.0428266 1.22147 94 15 14 22 111 60 26 22 27 76 0
1.35522e-05 1 1 1 1 1 1 0 1 0 1 0 0 1 0 1 0 0 0
1.35522e-05 1 1 1 1 1 1 0 1 0 1 0 0 1 0 1 0 0 0
1.35522e-05 1 1 1 1 1 1 0 1 0 1 0 0 1 0 1 0 0 0
-0.00311361 -0.933943 1.0421 21.1896 8.06226 12.9795 0.164706 1.03339 6 12 10 7 7 5 7 15 10 6 0
-0.000769085 -0.941909 1.03625 8.48528 5 6.12113 0.297297 0.52528 6 4 3 4 3 3 4 3 3 4 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-0.036723 -0.665214 1.85654 86.7006 6.08276 43.6481 0.0363636 -2.74445 66 25 44 82 81 66 32 8 46 155 0
1.35522e-05 1 1 1 1 1 1 0 1 0 1 0 0 1 0 1 0 0 0
1.35522e-05 1 1 1 1 1 1 0 1 0 1 0 0 1 0 1 0 0 0
1.35522e-05 1 1 1 1 1 1 0 1 0 1 0 0 1 0 1 0 0 0
-0.000359132 -0.946429 1.01874 6.7082 2.82843 4.38717 0.2 1.5323 2 3 3 3 2 2 4 4 5 2 0
-0.00138571 -0.935927 1.12897 11.6619 5.38516 8.23089 0.169492 -0.958426 5 6 8 4 5 8 7 7 3 6 0
-0.0018973 -0.861538 1.18036 14.2127 6.7082 9.62416 0.142857 -1.64025 6 6 5 10 7 6 6 6 9 9 0
1.35522e-05 1 1 1 1 1 1 0 1 0 1 0 0 1 0 1 0 0 0
-0.00447221 -0.88 1.18466 26.9072 7.81025 15.9335 0.161017 1.59074 14 18 9 5 6 17 21 11 8 9 0
-0.00395045 -0.907393 1.15922 18.3848 4.12311 13.4091 0.13 -1.45285 10 9 8 13 9 9 10 13 7 12 0
-0.00329656 -0.845352 1.07086 19.4165 5 13.1533 0.120879 2.48843 9 9 9 6 11 19 5 3 11 9 0
-0.000664056 -0.848485 1.18125 8.60233 2.82843 5.7438 0.181818 0.102681 6 4 4 4 7 4 2 5 5 3 0
-0.079148 -0.624509 1.23529 136.015 7 72.4232 0.0225564 -1.64988 71 107 20 0 0 217 50 46 62 92 0
0.000115193 0.971429 1.00992 4.47214 1.41421 2.62671 0.5 0.980914 3 0 1 1 2 2 0 1 2 2 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-0.0844265 -0.655332 1.20795 160.312 1.41421 86.4519 0.0263523 3.04005 181 151 28 20 36 178 127 0 0 0 2
0.000718264 0.950673 1.05836 8.544 4 5.91005 0.289474 0.205955 2 5 5 5 2 4 3 4 4 4 0
4.06565e-05 1 1 2 1 1.45711 0.75 0 1 1 1 1 0 1 1 1 1 0 0
4.06565e-05 1 1 2 1 1.45711 0.75 0 1 1 1 1 0 1 1 1 1 0 0
1.35522e-05 1 1 1 1 1 1 0 1 0 1 0 0 1 0 1 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-0.0652333 -0.62576 1.18572 131.735 5.65685 72.6489 0.0257235 0.486443 78 20 17 62 192 18 5 9 131 90 2
1.35522e-05 1 1 1 1 1 1 0 1 0 1 0 0 1 0 1 0 0 0
-0.0910705 -0.615047 1.27832 176.819 2.23607 94.3098 0.0224439 0.768675 26 56 232 91 0 0 0 275 97 25 2
1.35522e-05 1 1 1 1 1 1 0 1 0 1 0 0 1 0 1 0 0 0
7.45369e-05 1 1 3 1 1.97727 0.7 8.74833e-17 2 1 1 1 1 1 1 1 1 0 0
3.72684e-05 1 1 2.23607 0 1.61437 0.857143 0.785398 1 1 1 0 0 0 0 1 2 1 0
1.35522e-05 1 1 1 1 1 1 0 1 0 1 0 0 1 0 1 0 0 0
1.35522e-05 1 1 1 1 1 1 0 1 0 1 0 0 1 0 1 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-0.0774201 -0.690467 1.31508 134.317 29.0689 75.9955 0.0227618 -0.096257 34 19 23 178 63 53 33 23 37 196 2
4.06565e-05 1 1 2 1 1.45711 0.75 0 1 1 1 1 0 1 1 1 1 0 0
1.35522e-05 1 1 1 1 1 1 0 1 0 1 0 0 1 0 1 0 0 0
1.35522e-05 1 1 1 1 1 1 0 1 0 1 0 0 1 0 1 0 0 0
1.35522e-05 1 1 1 1 1 1 0 1 0 1 0 0 1 0 1 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-0.0397349 -0.790137 1.30617 79.404 11.3137 45.2093 0.0436893 -1.777 27 30 26 36 53 41 30 25 104 40 2
0.00212091 0.908563 1.1253 13 8 10.109 0.176471 0.541923 7 8 10 6 5 5 6 8 7 6 0
-0.000470937 -0.932886 1.05612 7.07107 2.82843 5.08618 0.181818 0.466256 4 3 6 4 2 1 2 3 5 3 0
-0.000426893 -0.881119 1.06005 7.2111 2 4.84054 0.28125 -0.124218 2 3 2 5 6 2 1 2 4 5 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-0.000562414 -0.801932 1.09762 13.6015 1.41421 6.66362 0.0961538 2.01689 8 2 0 3 15 6 3 3 6 6 0
-0.000389624 -0.864662 1.11552 8.544 2.23607 4.85276 0.257143 1.50521 3 2 2 2 3 7 3 2 3 8 0
-0.000403177 -0.952 1.03004 6.40312 2 4.64196 0.225806 0.574344 3 3 3 4 4 1 1 4 4 4 0
-0.000592907 -0.735294 1.14486 14.5602 3.60555 7.07966 0.132075 0.896091 19 2 2 3 4 3 8 5 3 4 0
-0.000101641 -0.714286 1.10162 6.32456 1 3.19336 0.208333 1.19934 4 3 0 0 0 1 7 1 3 5 0
-0.000152462 -0.978261 1.00926 4.24264 1 2.85063 0.263158 0.18621 3 2 2 2 2 3 0 1 2 2 0
-0.0570546 -0.612275 1.32489 119.942 8.60233 66.1163 0.025974 -1.97961 163 55 37 10 6 158 73 45 19 50 2
1.35522e-05 1 1 1 1 1 1 0 1 0 1 0 0 1 0 1 0 0 0
0.00179566 0.849359 1.13389 13.4536 5 9.48039 0.161765 0.678686 9 9 8 6 4 5 6 9 8 4 0
-0.0934455 -0.596488 1.26282 158.902 13.8924 90.9076 0.0258065 2.17398 16 103 208 45 12 12 165 165 34 15 1
-0.0833593 -0.641782 1.44961 149.696 3 75.6348 0.0229885 1.57315 8 7 176 125 33 18 40 255 188 20 5
3.72684e-05 1 1 2 1 1.46323 0.857143 0.785398 1 1 1 1 0 0 1 1 1 0 0
1.35522e-05 1 1 1 1 1 1 0 1 0 1 0 0 1 0 1 0 0 0
1.35522e-05 1 1 1 1 1 1 0 1 0 1 0 0 1 0 1 0 0 0
-0.0445154 -0.785356 1.1822 88.7525 12.8062 52.5996 0.04038 0.257144 36 16 22 74 78 14 13 42 49 77 5
1.35522e-05 1 1 1 1 1 1 0 1 0 1 0 0 1 0 1 0 0 0
-0.0559772 -0.639124 1.27211 112.614 6.7082 62.3139 0.024735 1.37996 52 151 18 8 9 118 106 31 22 51 5
-0.0581726 -0.687598 1.24874 106.607 10.198 62.5426 0.030888 -0.507305 76 31 22 37 57 111 51 9 10 114 5
1.35522e-05 1 1 1 1 1 1 0 1 0 1 0 0 1 0 1 0 0 0
1.35522e-05 1 1 1 1 1 1 0 1 0 1 0 0 1 0 1 0 0 0
-0.0491232 -0.718021 1.17557 91.214 19.6469 53.901 0.0327869 1.09479 14 35 78 51 21 33 40 49 86 20 5
-0.00728428 -0.775893 1.1088 65.3758 4.12311 31.4068 0.0357143 1.89895 3 3 4 10 95 16 5 5 17 94 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-0.0738288 -0.650672 1.26566 144.402 18.0278 78.8417 0.0132159 -1.98811 152 19 14 23 141 122 33 14 28 135 4
1.35522e-05 1 1 1 1 1 1 0 1 0 1 0 0 1 0 1 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-0.00539376 -0.894382 1.06097 51.3517 5 24.8944 0.0526316 2.55762 4 5 9 71 13 4 4 17 50 13 0
1.35522e-05 1 1 1 1 1 1 0 1 0 1 0 0 1 0 1 0 0 0
1.35522e-05 1 1 1 1 1 1 0 1 0 1 0 0 1 0 1 0 0 0
1.35522e-05 1 1 1 1 1 1 0 1 0 1 0 0 1 0 1 0 0 0
-0.0706643 -0.661015 1.24165 136.488 15.8114 73.5517 0.0226904 -1.93822 101 18 17 42 175 57 10 14 98 85 5
1.35522e-05 1 1 1 1 1 1 0 1 0 1 0 0 1 0 1 0 0 0
-0.000867338 -0.927536 1.03903 10.4403 3 6.84212 0.26087 0.819007 3 3 6 7 4 2 2 7 6 6 0
-0.00156189 -0.820285 1.07173 18.3848 3 10.7408 0.12987 -0.369616 14 4 2 4 15 16 2 2 4 14 0
-1.35522e-05 -0.571429 1.02322 3.16228 1 1.85628 0.333333 1.50552 2 0 0 0 0 3 2 2 1 2 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-0.0819228 -0.630607 1.49145 137.084 18.4391 78.2624 0.0186104 -1.76445 20 25 102 153 18 12 29 222 136 89 1
1.35522e-05 1 1 1 1 1 1 0 1 0 1 0 0 1 0 1 0 0 0
5.75967e-05 1 1 3.16228 1 1.89502 0.777778 0.831437 1 1 1 1 0 0 1 1 1 2 0
-0.00105707 -0.746411 1.0564 42.0476 0 19.59 0.0576923 0.768665 10 72 0 0 0 7 60 3 3 1 0
-2.03282e-05 -0.428571 1.05816 5.09902 1 2.55661 0.222222 1.34412 3 0 0 0 0 4 3 2 0 6 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-0.0812079 -0.683189 1.31853 134.826 17.8885 76.0712 0.0180451 -1.41 11 18 101 133 33 21 59 116 157 16 5
1.35522e-05 1 1 1 1 1 1 0 1 0 1 0 0 1 0 1 0 0 0
-0.000599683 -0.941489 1.05339 8.06226 3 5.49841 0.243243 0.741497 6 4 4 3 3 3 4 4 3 3 0
-0.0595617 -0.790112 1.29776 100.245 21 63.0162 0.0215054 -2.0441 97 102 24 14 24 100 106 26 27 38 3
0.000108417 1 1 5 1 2.58314 0.333333 -2.86098e-17 1 3 3 3 0 1 3 1 3 0 0
2.71043e-05 1 1 2 1 1.30474 1 0 1 1 1 1 0 1 0 1 0 0 0
1.35522e-05 1 1 1 1 1 1 0 1 0 1 0 0 1 0 1 0 0 0
1.35522e-05 1 1 1 1 1 1 0 1 0 1 0 0 1 0 1 0 0 0
1.35522e-05 1 1 1 1 1 1 0 1 0 1 0 0 1 0 1 0 0 0
-0.0375395 -0.850541 1.31994 70.2638 24.0832 45.2745 0.0343137 -1.45037 18 44 43 46 20 37 42 86 53 19 3
-0.00189391 -0.927032 1.04317 15.6525 6 10.0606 0.130435 0.225983 11 6 5 11 8 5 4 5 7 7 0
-3.38804e-05 -1 1 2.23607 1 1.43484 0.75 0.946273 1 0 1 1 0 1 0 1 1 2 0
-0.00265622 -0.647399 1.3231 27.6586 1 13.8154 0.109375 2.15586 35 3 11 6 11 28 16 5 4 9 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-0.000467549 -0.913907 1.04318 6.40312 3.16228 4.89539 0.366667 0.847071 2 3 4 3 2 2 3 3 4 4 0
-0.0597616 -0.770969 1.1153 153.73 14.5602 78.7159 0.0229133 -1.15004 54 153 60 11 12 31 248 21 9 12 0
-0.00246988 -0.940645 1.03589 19.3132 7 11.545 0.116883 -0.0236415 11 8 5 7 15 6 5 5 8 7 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-0.0712979 -0.736139 1.21103 147.187 19.105 76.1511 0.0276873 -1.0877 147 31 14 17 75 183 27 15 24 81 0
1.35522e-05 1 1 1 1 1 1 0 1 0 1 0 0 1 0 1 0 0 0
3.72684e-05 1 1 2.23607 1 1.55519 0.857143 0.300348 1 1 1 1 1 0 0 1 0 1 0
1.35522e-05 1 1 1 1 1 1 0 1 0 1 0 0 1 0 1 0 0 0
-0.0283918 -0.632405 1.27439 100.09 1 48.8913 0.0223214 1.4184 51 137 4 1 0 134 56 24 20 21 0
1.35522e-05 1 1 1 1 1 1 0 1 0 1 0 0 1 0 1 0 0 0
1.35522e-05 1 1 1 1 1 1 0 1 0 1 0 0 1 0 1 0 0 0
1.35522e-05 1 1 1 1 1 1 0 1 0 1 0 0 1 0 1 0 0 0
1.35522e-05 1 1 1 1 1 1 0 1 0 1 0 0 1 0 1 0 0 0
-0.0436786 -0.818332 1.14128 91.7878 13.1529 53.8499 0.028169 -0.572697 11 17 90 81 18 13 28 81 72 15 0
1.35522e-05 1 1 1 1 1 1 0 1 0 1 0 0 1 0 1 0 0 0
1.35522e-05 1 1 1 1 1 1 0 1 0 1 0 0 1 0 1 0 0 0
-0.0283918 -0.632405 1.27439 100.09 1 48.8913 0.0223214 1.4184 51 137 4 1 0 134 56 24 20 21 0
1.35522e-05 1 1 1 1 1 1 0 1 0 1 0 0 1 0 1 0 0 0
1.35522e-05 1 1 1 1 1 1 0 1 0 1 0 0 1 0 1 0 0 0
1.35522e-05 1 1 1 1 1 1 0 1 0 1 0 0 1 0 1 0 0 0
1.35522e-05 1 1 1 1 1 1 0 1 0 1 0 0 1 0 1 0 0 0
-0.0436786 -0.818332 1.14128 91.7878 13.1529 53.8499 0.028169 -0.572697 11 17 90 81 18 13 28 81 72 15 0
1.35522e-05 1 1 1 1 1 1 0 1 0 1 0 0 1 0 1 0 0 0
1.35522e-05 1 1 1 1 1 1 0 1 0 1 0 0 1 0 1 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-0.00504818 -0.84563 1.12019 32.0156 4.47214 17.5578 0.113636 -0.564254 15 17 8 6 14 35 7 5 6 19 0
2.71043e-05 1 1 2 1 1.30474 1 0 1 1 1 1 0 1 0 1 0 0 0
-9.82531e-05 -1 1 3.60555 1 2.29556 0.333333 1.18979 2 2 0 1 2 1 2 1 2 2 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-0.00055225 -0.920904 1.04203 8.06226 2 5.50574 0.179487 0.468371 5 3 2 5 6 4 2 1 6 5 0
-0.000348968 -0.730496 1.22134 6.40312 2.23607 4.52817 0.2 1.10631 3 4 5 2 1 2 8 2 4 4 0
6.09847e-05 0.9 1.07107 2.23607 1 1.77727 0.8 8.74833e-17 2 1 1 1 1 1 1 1 1 0 0
1.35522e-05 1 1 1 1 1 1 0 1 0 1 0 0 1 0 1 0 0 0
-6.77608e-06 -0.666667 1.02679 2.23607 0 1.17742 0.666667 0.42894 3 1 0 0 1 0 0 0 0 1 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-0.000677608 -0.952381 1.038 8.94427 2.82843 6.04981 0.166667 -0.291934 5 6 3 3 6 6 4 2 3 4 0
-0.00194812 -0.894246 1.17357 14.7648 5 10.0941 0.16 1.18329 4 7 8 9 8 4 3 14 9 9 0
2.71043e-05 1 1 2 1 1.30474 1 1.5708 1 0 1 0 0 1 1 1 1 0 0
-0.000769085 -0.930328 1.06405 8.60233 5 6.16078 0.282051 0.608625 6 3 4 4 4 3 3 4 3 5 0
-0.00101641 -0.837989 1.2441 10.8167 4 7.16396 0.155172 -1.08861 3 5 8 5 3 9 11 6 3 5 0
